product_name,category,price,discount_pct,color_options,cluster_id,cluster_label,avg_price,price_tier,price_cleaned,sku_id,current_stock,fifo_unit_cost,fifo_inventory_value,fifo_batch_date
Unknown Product,automotive,0.68,60.0,1,2,Cluster 2 - Premium / Multi-Color,0.68,Low,0.68,SKU-100000,112,0.37,41.44,2026-07-16
Unknown Product,automotive,1.6,20.0,1,1,Cluster 0 - Budget / Regular,1.6,Low,1.6,SKU-100001,445,0.57,253.65,2026-07-29
Unknown Product,automotive,1.6,0.0,1,1,Cluster 0 - Budget / Regular,1.6,Low,1.6,SKU-100002,358,0.65,232.7,2026-07-08
Unknown Product,automotive,0.93,34.0,1,2,Cluster 2 - Premium / Multi-Color,0.93,Low,0.93,SKU-100003,280,0.31,86.8,2026-04-16
Unknown Product,automotive,1.12,20.0,1,1,Cluster 0 - Budget / Regular,1.12,Low,1.12,SKU-100004,116,0.39,45.24,2026-07-06
Unknown Product,automotive,4.7,0.0,1,1,Cluster 0 - Budget / Regular,4.7,Medium,4.7,SKU-100005,81,2.25,182.25,2026-05-18
Unknown Product,automotive,3.3,0.0,1,1,Cluster 0 - Budget / Regular,3.3,Low,3.3,SKU-100006,198,0.99,196.02,2026-07-05
Unknown Product,automotive,7.16,23.0,1,1,Cluster 0 - Budget / Regular,7.16,Medium,7.16,SKU-100007,30,3.74,112.2,2026-06-25
Unknown Product,automotive,2.8,0.0,1,1,Cluster 0 - Budget / Regular,2.8,Low,2.8,SKU-100008,112,1.28,143.36,2026-05-18
Unknown Product,automotive,1.6,0.0,1,1,Cluster 0 - Budget / Regular,1.6,Low,1.6,SKU-100009,131,0.66,86.46,2026-04-25
Unknown Product,automotive,3.02,37.0,1,2,Cluster 2 - Premium / Multi-Color,3.02,Low,3.02,SKU-100010,476,1.16,552.16,2026-06-05
Unknown Product,automotive,1.85,50.0,1,2,Cluster 2 - Premium / Multi-Color,1.85,Low,1.85,SKU-100011,224,0.61,136.64,2026-04-06
Unknown Product,automotive,1.4,0.0,1,1,Cluster 0 - Budget / Regular,1.4,Low,1.4,SKU-100012,340,0.74,251.6,2026-06-02
Unknown Product,automotive,3.06,63.0,1,2,Cluster 2 - Premium / Multi-Color,3.06,Low,3.06,SKU-100013,468,1.46,683.28,2026-05-23
Unknown Product,automotive,1.34,54.0,1,2,Cluster 2 - Premium / Multi-Color,1.34,Low,1.34,SKU-100014,97,0.51,49.47,2026-06-23
Unknown Product,automotive,1.3,0.0,1,1,Cluster 0 - Budget / Regular,1.3,Low,1.3,SKU-100015,382,0.41,156.62,2026-04-10
Unknown Product,automotive,2.11,22.0,1,1,Cluster 0 - Budget / Regular,2.11,Low,2.11,SKU-100016,109,0.8,87.2,2026-05-26
Unknown Product,automotive,2.08,20.0,1,1,Cluster 0 - Budget / Regular,2.08,Low,2.08,SKU-100017,369,0.72,265.68,2026-06-26
Unknown Product,automotive,1.58,46.0,1,2,Cluster 2 - Premium / Multi-Color,1.58,Low,1.58,SKU-100018,161,0.78,125.58,2026-04-25
Unknown Product,automotive,1.17,22.0,1,1,Cluster 0 - Budget / Regular,1.17,Low,1.17,SKU-100019,140,0.56,78.4,2026-04-23
Unknown Product,automotive,3.94,51.0,1,2,Cluster 2 - Premium / Multi-Color,3.94,Medium,3.94,SKU-100020,159,1.67,265.53,2026-06-06
Unknown Product,automotive,1.36,20.0,1,1,Cluster 0 - Budget / Regular,1.36,Low,1.36,SKU-100021,318,0.71,225.78,2026-05-14
Unknown Product,automotive,1.15,12.0,1,1,Cluster 0 - Budget / Regular,1.15,Low,1.15,SKU-100022,267,0.4,106.8,2026-04-09
Unknown Product,automotive,6.6,0.0,1,1,Cluster 0 - Budget / Regular,6.6,Medium,6.6,SKU-100023,353,2.73,963.69,2026-06-29
Unknown Product,automotive,1.28,20.0,1,1,Cluster 0 - Budget / Regular,1.28,Low,1.28,SKU-100024,423,0.61,258.03,2026-06-29
Unknown Product,automotive,0.53,62.0,1,2,Cluster 2 - Premium / Multi-Color,0.53,Low,0.53,SKU-100025,303,0.17,51.51,2026-07-27
Unknown Product,automotive,1.45,28.0,1,2,Cluster 2 - Premium / Multi-Color,1.45,Low,1.45,SKU-100026,395,0.57,225.15,2026-07-27
Unknown Product,automotive,6.73,45.0,1,2,Cluster 2 - Premium / Multi-Color,6.73,Medium,6.73,SKU-100027,201,2.98,598.98,2026-04-08
Unknown Product,automotive,3.45,16.0,1,1,Cluster 0 - Budget / Regular,3.45,Medium,3.45,SKU-100028,453,1.35,611.55,2026-07-29
Unknown Product,automotive,11.3,0.0,1,1,Cluster 0 - Budget / Regular,11.3,High,11.3,SKU-100029,286,4.75,1358.5,2026-04-16
Unknown Product,automotive,1.47,33.0,1,2,Cluster 2 - Premium / Multi-Color,1.47,Low,1.47,SKU-100030,170,0.66,112.2,2026-07-01
Unknown Product,automotive,2.45,55.0,1,2,Cluster 2 - Premium / Multi-Color,2.45,Low,2.45,SKU-100031,469,0.96,450.24,2026-06-15
Unknown Product,automotive,0.4,71.0,1,2,Cluster 2 - Premium / Multi-Color,0.4,Low,0.4,SKU-100032,323,0.13,41.99,2026-07-04
Unknown Product,automotive,1.6,0.0,1,1,Cluster 0 - Budget / Regular,1.6,Low,1.6,SKU-100033,31,0.54,16.74,2026-07-27
Unknown Product,automotive,3.0,0.0,1,1,Cluster 0 - Budget / Regular,3.0,Low,3.0,SKU-100034,262,1.3,340.6,2026-07-02
Unknown Product,automotive,4.5,50.0,1,2,Cluster 2 - Premium / Multi-Color,4.5,Medium,4.5,SKU-100035,245,1.55,379.75,2026-07-15
Unknown Product,automotive,1.54,30.0,1,2,Cluster 2 - Premium / Multi-Color,1.54,Low,1.54,SKU-100036,354,0.8,283.2,2026-06-09
Unknown Product,automotive,3.57,31.0,1,2,Cluster 2 - Premium / Multi-Color,3.57,Medium,3.57,SKU-100037,58,1.82,105.56,2026-06-07
Unknown Product,automotive,2.5,0.0,1,1,Cluster 0 - Budget / Regular,2.5,Low,2.5,SKU-100038,484,0.97,469.48,2026-05-13
Unknown Product,automotive,1.17,38.0,1,2,Cluster 2 - Premium / Multi-Color,1.17,Low,1.17,SKU-100039,68,0.59,40.12,2026-06-01
1pc Rhinestone Decor Car Coaster,automotive,1.18,41.0,1,2,Cluster 2 - Premium / Multi-Color,1.18,Low,1.18,SKU-100040,179,0.51,91.29,2026-05-21
Car Charger 5 Ports USB Super Fast Charging Intelligent Phone Charging Voltage Detection Digital Display Car Adapter Mobile Phone Charger,automotive,2.7,0.0,1,1,Cluster 0 - Budget / Regular,2.7,Low,2.7,SKU-100041,485,0.92,446.2,2026-06-30
"70g Cleaning Gel for Car, Car Cleaning Kit Universal Detailing Automotive Dust Car Crevice Cleaner Auto Air Vent Interior Detail Removal Putty Cleaning Keyboard Cleaner for Car Vents, PC, Laptops, Cameras",automotive,1.26,59.0,1,2,Cluster 2 - Premium / Multi-Color,1.26,Low,1.26,SKU-100042,197,0.57,112.29,2026-06-07
"1pc Multifunction Mini Safety Hammer With Spring Window Breaker And Keychain For Car, Cut Seat Belt, Portable",automotive,1.6,0.0,1,1,Cluster 0 - Budget / Regular,1.6,Low,1.6,SKU-100043,473,0.75,354.75,2026-07-17
"1pc Coasters Cat Car Cup Holder Coasters,  Finger Notch For Easy Removal ,Car Interior Accessories Cup Mat, Cup Pad Mat Car Coasters For",automotive,1.4,0.0,1,1,Cluster 0 - Budget / Regular,1.4,Low,1.4,SKU-100044,280,0.45,126.0,2026-05-14
1pc Aluminum Alloy Magnetic Car Phone Holder,automotive,2.0,0.0,1,1,Cluster 0 - Budget / Regular,2.0,Low,2.0,SKU-100045,199,0.76,151.24,2026-07-02
"Car Windshield Cleaning Brush, Car Cleaner",automotive,2.5,0.0,1,1,Cluster 0 - Budget / Regular,2.5,Low,2.5,SKU-100046,455,0.75,341.25,2026-04-19
"1pc Car Hair Removal Tool, Car Cleaner",automotive,1.6,20.0,1,1,Cluster 0 - Budget / Regular,1.6,Low,1.6,SKU-100047,184,0.61,112.24,2026-05-29
1pc Powerful Mini Car Dent Repair Puller Suction Cup - Easily Remove Bodywork Panels And Suck Out Dents,automotive,1.7,0.0,1,1,Cluster 0 - Budget / Regular,1.7,Low,1.7,SKU-100048,455,0.65,295.75,2026-06-25
"1pc/2pcs Car Cleaning Brush, Soft Bristle Brush For Ac Air Vent And Interior Gap Dust Cleaning Tool",automotive,2.4,0.0,1,1,Cluster 0 - Budget / Regular,2.4,Low,2.4,SKU-100049,60,1.1,66.0,2026-04-19
"5pcs/set Car Interior Cleaning Brush Detail Brush, Gap Vent Brush Multi-functional Auto Detailing Tools",automotive,2.4,0.0,1,1,Cluster 0 - Budget / Regular,2.4,Low,2.4,SKU-100050,373,0.84,313.32,2026-06-29
2pcs Car Rearview Mirror Rainproof Film,automotive,1.28,20.0,1,1,Cluster 0 - Budget / Regular,1.28,Low,1.28,SKU-100051,64,0.39,24.96,2026-07-07
1PC Adjustable Kickstand Kick Stand Parking Bracket Motorcycle Accessories Foot Side Stand For Electric Motorbike Motorcycle CNC,automotive,7.88,28.0,1,2,Cluster 2 - Premium / Multi-Color,7.88,Medium,7.88,SKU-100052,253,2.99,756.47,2026-05-12
"2 Pcs Premium Microfiber Towels For Cars, Car Drying Towel Microfiber Cleaning Cloths For Cars, All Purpose Quick Dry Absorbent Cleaning Rags Set For Household, Car Washing, Drying & Auto Detailing",automotive,2.32,20.0,1,1,Cluster 0 - Budget / Regular,2.32,Low,2.32,SKU-100053,329,1.17,384.93,2026-04-08
1pc Car Paint Pen Scratch Repair Agent Car Paint Repair Pen,automotive,2.0,0.0,1,1,Cluster 0 - Budget / Regular,2.0,Low,2.0,SKU-100054,140,0.8,112.0,2026-07-29
2pcs Butterfly Pattern Car Coaster,automotive,1.4,0.0,1,1,Cluster 0 - Budget / Regular,1.4,Low,1.4,SKU-100055,494,0.57,281.58,2026-07-14
"Aromatic Formula Multifunctional Cleaning Gel, Flowing Cleaner For Car Interior, High-Tech Dust Removal Mud Suitable For Cleaning Car Interior, Electronic Devices & Accessories And Household Dead Corners",automotive,2.1,0.0,1,1,Cluster 0 - Budget / Regular,2.1,Low,2.1,SKU-100056,316,0.88,278.08,2026-06-19
1pc Hamsa Hand Decor Zinc Alloy Car Air Outlet Clip,automotive,1.7,0.0,1,1,Cluster 0 - Budget / Regular,1.7,Low,1.7,SKU-100057,144,0.83,119.52,2026-06-08
1pc Car Rearview Mirror Pendant Sunflower Acrylic Dangle Keychain Backpack Ornament,automotive,1.66,13.0,1,1,Cluster 0 - Budget / Regular,1.66,Low,1.66,SKU-100058,30,0.7,21.0,2026-07-25
"1pc Long Nozzle Funnel With Handle, For Adding Oil/Fuel Additives To Cars, Motorcycles, Thickening Design With Small Caliber",automotive,1.7,0.0,1,1,Cluster 0 - Budget / Regular,1.7,Low,1.7,SKU-100059,338,0.55,185.9,2026-05-04
1pc Car Mounted Steering Wheel Notebook Holder Table,automotive,7.6,34.0,1,2,Cluster 2 - Premium / Multi-Color,7.6,Medium,7.6,SKU-100060,176,2.67,469.92,2026-06-16
"PU Leather Car Registration And Insurance Holder, Vehicle Registration And Insurance Card Holder For Car, Auto Document Holder Glove Box Organizer Car Insurance Folder, Auto Glovebox Organizer Car Glove Compartment Organizer For Women And Men - Pink",automotive,6.9,0.0,1,1,Cluster 0 - Budget / Regular,6.9,Medium,6.9,SKU-100061,283,2.39,676.37,2026-05-14
Multifunctional Car Wash Gun,automotive,12.62,45.0,1,2,Cluster 2 - Premium / Multi-Color,12.62,High,12.62,SKU-100062,397,5.39,2139.83,2026-05-19
"1 Pack Car Side Mirror Squeegee Retractable Auto Mirror Wiper,Mini Squeegee For Car Windows Cleaning",automotive,1.88,45.0,1,2,Cluster 2 - Premium / Multi-Color,1.88,Low,1.88,SKU-100063,98,0.58,56.84,2026-05-13
4pcs Aluminum Alloy Car Tire Valve Cap,automotive,0.82,37.0,1,2,Cluster 2 - Premium / Multi-Color,0.82,Low,0.82,SKU-100064,325,0.3,97.5,2026-07-06
"4pcs/set Car Tire Valve Cap For Car/suv/motorcycle/bike, Dustproof Tire Accessories With Artificial Crystal Rhinestone Decoration",automotive,1.22,32.0,1,2,Cluster 2 - Premium / Multi-Color,1.22,Low,1.22,SKU-100065,23,0.55,12.65,2026-07-11
"4pcs Car Threshold Protection Sticker Carbon Fiber Sticker Paper Car Door Scratch Scrape, Prevent Dirt Step The Pedal The Rear Box Protective Bar",automotive,2.5,0.0,1,1,Cluster 0 - Budget / Regular,2.5,Low,2.5,SKU-100066,251,0.97,243.47,2026-06-02
"Car Headlight Refurbished Repair Liquid, Lamp Cleaning Agent, Headlight Yellowing & Scratch Repairing Polishing Tool Set Hgkj 8",automotive,3.1,0.0,1,1,Cluster 0 - Budget / Regular,3.1,Low,3.1,SKU-100067,274,1.48,405.52,2026-06-01
