category,cluster_id,cluster_label,primary_crm_segment,strategic_action,total_skus,total_products,total_units_sold,avg_price,avg_discount,total_gmv,total_warehouse_stock,total_fifo_val,total_discount_erosion,total_freight_cost,total_holding_cost,total_net_margin
appliances,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2374,2374,35610,19.586217354675654,2.9856781802864365,697465.2,610983,5204147.35,20824.06629149115,30268.5,29675.0,616697.6337085088
appliances,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,1612,1612,24180,64.31537220843673,40.73511166253102,1555145.7000000002,401397,11109799.06,633490.3374100497,20553.0,20150.0,880952.3625899504
automotive,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3251,3251,48765,7.662608428175946,2.411258074438634,373667.1,829211,2666058.81,9010.078120270684,41450.25,40637.5,282569.2718797293
automotive,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,858,858,12870,27.364044289044287,38.67365967365967,352175.25,216214,2456536.35,136199.05763986014,10939.5,10725.0,194311.69236013986
baby_and_maternity,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,295,295,4425,8.078508474576271,10.410169491525425,35747.4,73322,240050.14,3721.36492881356,3761.25,3687.5,24577.28507118644
baby_and_maternity,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3586,3586,53790,9.412200223089794,5.742331288343558,506282.25,904660,3652735.83,29072.404049079752,45721.5,44825.0,386663.34595092025
baby_and_maternity,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,551,551,8265,6.179981851179673,42.82577132486389,51077.55,138017,350210.54,21874.354761343016,7025.25,6887.5,15290.445238656986
bags_and_luggage,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,832,832,12480,7.526562500000001,23.59735576923077,93931.5,214389,701713.43,22165.350234375,10608.0,10400.0,50758.149765625
bags_and_luggage,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2355,2355,35325,6.730029723991507,14.281953290870488,237738.3,593160,1689021.58,33953.67296050955,30026.25,29437.5,144320.87703949044
bags_and_luggage,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,1111,1111,16665,7.926975697569758,41.246624662466246,132103.05,292565,948178.87,54488.04920117011,14165.25,13887.5,49562.250798829875
beauty_and_health,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,522,522,7830,3.65088122605364,13.775862068965518,28586.4,132466,207254.29,3938.0230344827587,6655.5,6525.0,11467.876965517244
beauty_and_health,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2810,2810,42150,3.8853665480427044,7.452669039145907,163768.19999999998,718409,1147655.9,12205.101937366546,35827.5,35125.0,80610.59806263345
beauty_and_health,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,934,934,14010,10.65541755888651,43.98608137044968,149282.4,229545,1060132.29,65663.47793576017,11908.5,11675.0,60035.42206423983
